,index,jian_flag_all,pred_label,問題なしの確率（0）,問題ありの確率（1）,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,20_p_num,ID,flag1（前後重複70%以上）,flag2（欠測有無）,flag3（保護者不同意）,flag4（デスクトップPC実施）,flag5（特支学級）,flag6（IAT誤答率20%以上）,SchoolNumber,SchoolClass,PersonalNumber,StudentAge,IAT_pattern,IAT_po,IAT_ne,IAT,IAT1_error,IAT2_error,IAT_Q1,IAT_Q2,IAT_Q3,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,ss1,ss2,ss3,ss4,ss5,ss6,cu1,cu2,cu3,cu4,cu5,cu6,cu7,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,cd9,cd10,cd11,ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,pr1,pr2,pr3,pr5,pr6,pr7,pr9,pr10,pr11,pr13,pr14,pr15,pr17,pr18,pr19,pr4,pr8,pr12,pr16,tl1,tl4,tl6,tl8,tl9,tl11,tl13,tl15,tl17,tl2,tl3,tl5,tl7,tl10,tl12,tl14,tl16,fr1,fr3,fr5,fr7,fr9,fr2,fr4,fr6,fr8,ce1,ce2,ce3,ce4,ce5,ce6,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps8,ps9,ps10,self_control,sensation_seeking,callous_unemotional,moral_disengagement,cognitive_distortion,aggression_belief,acceptance,psychological_control,monitoring,family_violence,goal_achievement,group_maintenance,good_friendship,bad_friendship,informal_control,social_cohesion,self_control_after,sensation_seeking_after,callous_unemotional_after,moral_disengagement_after,cognitive_distortion_after,aggression_belief_after,acceptance_after,psychological_control_after,monitoring_after,family_violence_after,goal_achievement_after,group_maintenance_after,good_friendship_after,bad_friendship_after,informal_control_after,social_cohesion_after,season,mondai,hutoukou,ijime,mondai_after,hutoukou_after,ijime_after,jian_flag_half,cluster,cluster_replace,cluster_after,cluster_after_replace,cluster_naimen,cluster_naimen_replace,cluster_naimen_after,cluster_naimen_after_replace,StudentGender_1,StudentGender_2,SchoolGrade_4,SchoolGrade_5,SchoolGrade_6,SchoolGrade_7,SchoolGrade_8,SchoolGrade_9,gakku_1,gakku_10,gakku_11,gakku_12,gakku_13,gakku_14,gakku_15,gakku_16,gakku_17,gakku_18,gakku_19,gakku_2,gakku_20,gakku_21,gakku_22,gakku_3,gakku_4,gakku_5,gakku_6,gakku_7,gakku_8,gakku_9,jian_flag_all
36,36,0,0.0,0.8031841440182724,0.19681585598172754,142,142,142,c1_8126,161,0,0,0,0,0,0,c1,1,26,13,3,7.070274208,6.767993337,-0.302280872,0.0,0.0,3,4,4,1,3,1,3,1,1,2,3,1,1,3,2,2,2,3,4,4,3,4,4,4,2,4,4,1,1,2,2,3,3,1,1,3,2,1,3,2,1,1,1,1,2,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,2,1,1,1,1,4,3,4,1,2,1,2,2,2,3,2,3,3,1,3,2,3,3,3,3,3,3,3,2,4,4,4,4,4,1,1,1,1,2,2,3,3,3,3,4,2,3,2,2,2,3,2,1,3,18,11,9,24,19,8,9,8,4,6,17,24,5,4,8,6,20.0,12.0,13.0,29.0,26.0,13.0,7.0,12.0,6.0,7.0,17.0,24.0,6.0,4.0,7.0,6.0,1,0,0,0,0.0,0.0,0.0,0,7,4,7.0,4.0,9,5,4.0,7.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0.0,0.779792534558234,0.2202074654417659,16024,16024,16024,s43_6101,17917,0,0,0,0,0,0,s43,1,1,11,1,6.959048573,7.070274208,0.111225635,0.0,0.0,4,4,4,1,2,1,2,4,1,2,2,4,2,2,2,3,1,4,3,4,3,4,4,4,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,1,2,2,1,3,2,4,1,1,1,2,3,4,4,3,3,3,4,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,1,1,1,2,2,2,3,3,3,4,4,1,3,3,3,2,3,1,1,3,12,14,9,15,13,10,6,10,6,5,12,14,6,5,8,5,12.0,15.0,12.0,18.0,13.0,8.0,7.0,12.0,6.0,7.0,8.0,10.0,6.0,5.0,10.0,9.0,1,0,0,0,0.0,0.0,0.0,0,7,4,7.0,4.0,7,6,1.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0.0,0.8297360800692013,0.17026391993079856,5998,5998,5998,c3_8503,6602,0,0,0,0,0,0,c3,5,3,14,1,6.978851201,6.610503756,-0.368347445,5.263157895,7.142857143,4,3,4,3,3,2,1,4,1,1,2,4,2,2,1,3,2,4,3,4,2,3,4,3,4,5,3,2,3,1,1,3,2,1,2,4,2,1,2,2,1,1,2,1,2,2,4,4,4,4,3,4,4,4,4,4,4,4,3,3,2,4,1,3,3,1,4,3,4,1,2,1,1,4,4,4,3,4,4,4,3,4,3,2,3,4,3,3,3,3,3,3,4,3,4,1,1,1,1,2,2,3,3,2,3,3,1,2,3,2,1,4,4,2,2,14,14,12,27,20,9,8,14,4,5,16,11,8,4,8,7,16.0,15.0,11.0,27.0,16.0,10.0,11.0,13.0,4.0,4.0,20.0,9.0,7.0,5.0,8.0,8.0,1,0,0,0,0.0,0.0,0.0,0,2,5,7.0,4.0,9,5,7.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,46,0,0.0,0.7567929267854817,0.24320707321451834,33737,33737,33737,s43_5118,37636,0,0,0,0,0,0,s43,1,18,11,3,6.9469759920000005,6.898185828,-0.048790164000000004,10.0,9.523809523999999,4,3,4,2,2,1,3,3,1,2,2,3,2,1,2,4,1,4,4,3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,3,3,4,3,3,1,2,1,1,3,2,3,2,4,1,1,1,2,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,1,1,1,1,4,4,3,4,4,4,4,2,3,2,2,2,2,1,1,2,15,13,11,11,12,8,10,10,6,5,9,12,6,4,4,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,8,1,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0.0,0.867126910897335,0.13287308910266502,17096,17096,17096,s6_6104,19067,0,0,0,0,0,0,s6,1,4,12,3,6.907755279,6.959048573,0.051293294,0.0,0.0,4,4,4,1,1,1,2,4,1,1,1,1,1,2,2,2,1,4,4,4,4,4,4,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,1,4,4,4,1,1,1,1,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,2,4,4,4,4,4,4,1,1,1,1,3,3,4,4,4,4,4,1,4,4,1,1,3,1,3,2,9,9,8,14,11,8,6,8,3,4,14,10,5,4,5,3,11.0,11.0,8.0,11.0,11.0,8.0,6.0,8.0,3.0,4.0,15.0,11.0,5.0,9.0,9.0,5.0,1,0,0,0,0.0,1.0,0.0,1,6,2,2.0,5.0,8,1,8.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,59,0,0.0,0.7289154057957866,0.2710845942042134,34981,34981,34981,s7_4327,38968,0,0,0,0,0,0,s7,3,27,9,1,7.195437351,7.28423285,0.088795499,0.0,7.142857143,4,3,4,2,2,1,4,4,2,2,1,2,1,1,2,2,1,4,4,3,3,3,4,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,3,4,2,1,2,4,4,4,4,4,4,4,4,4,3,4,4,3,3,1,2,1,1,1,2,2,1,3,1,2,1,1,2,3,4,4,4,3,1,4,3,3,3,4,4,3,4,4,3,3,3,4,4,3,2,1,3,2,3,4,4,3,3,3,3,1,2,3,4,3,3,2,4,1,15,9,12,13,21,8,9,8,9,5,12,17,8,8,4,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,9,5,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,64,0,0.0,0.7838239905657753,0.2161760094342246,17974,17974,17974,c1_9116,20044,0,0,0,0,0,0,c1,1,16,15,3,6.907755279,6.767993337,-0.139761942,0.0,0.0,4,4,4,1,3,1,2,4,1,2,2,1,1,2,2,2,1,4,3,3,3,4,4,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,1,2,1,4,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,1,1,1,2,3,3,3,1,1,1,1,4,4,4,4,4,3,2,3,2,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2,3,3,3,4,4,2,2,2,3,3,1,4,13,9,11,14,19,8,11,8,6,4,13,15,11,10,8,7,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,5,8,,,2,3,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0.0,0.7194459019639632,0.2805540980360367,6415,6415,6415,c4_9224,7050,0,0,0,0,0,0,c4,2,24,14,4,7.1094949220000005,6.878767742000001,-0.23072718,4.7619047619999995,11.76470588,3,4,4,1,3,2,3,3,2,2,3,3,2,2,3,3,2,4,4,4,4,4,4,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,2,2,3,2,3,3,3,1,1,1,2,2,2,3,3,3,3,2,4,3,3,3,4,2,4,3,3,3,3,3,3,3,3,2,1,2,2,4,4,4,4,4,4,3,2,3,2,3,3,2,3,1,3,18,15,8,16,15,8,11,16,6,5,15,20,10,7,3,3,22.0,10.0,8.0,22.0,16.0,8.0,7.0,12.0,5.0,7.0,11.0,17.0,6.0,5.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,5,8,7.0,4.0,1,4,9.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,70,0,0.0,0.7978837708645024,0.20211622913549765,9408,9408,9408,s12_5127,10653,0,0,0,0,0,1,s12,1,27,11,1,7.003065459,6.723832441,-0.279233018,25.0,8.0,4,4,4,1,2,1,3,2,1,2,2,1,1,1,4,1,1,4,4,4,4,4,4,2,1,1,1,1,1,2,6,3,2,1,1,6,1,1,1,1,1,1,3,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,4,2,4,3,4,4,3,4,1,2,1,2,4,4,4,4,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,1,1,2,1,3,4,2,1,2,4,2,3,3,4,1,2,2,1,3,15,9,9,20,18,9,6,18,4,6,10,11,5,5,7,10,16.0,11.0,14.0,16.0,18.0,13.0,13.0,18.0,8.0,9.0,22.0,24.0,5.0,6.0,12.0,12.0,1,0,0,0,0.0,0.0,0.0,0,9,7,8.0,9.0,9,5,4.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0.0,0.8452229902124987,0.15477700978750136,33901,33901,33901,s44_4229,37808,0,0,0,0,0,0,s44,2,29,10,2,7.264430223,6.812445099,-0.45198512399999996,0.0,0.0,4,4,4,2,1,1,3,3,2,3,2,3,2,1,2,3,1,4,4,3,3,4,4,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,3,3,4,4,4,3,1,1,1,1,1,2,4,3,4,1,2,1,1,2,4,4,4,3,4,3,4,2,4,3,4,4,4,3,4,2,4,4,4,4,4,1,1,2,1,3,4,4,4,4,4,4,2,3,3,4,3,2,2,1,3,16,12,10,14,14,8,9,7,4,5,12,15,5,5,4,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,2,3,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
