,index,jian_flag_all,pred_label,問題なしの確率（0）,問題ありの確率（1）,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,20_p_num,ID,flag1（前後重複70%以上）,flag2（欠測有無）,flag3（保護者不同意）,flag4（デスクトップPC実施）,flag5（特支学級）,flag6（IAT誤答率20%以上）,SchoolNumber,SchoolClass,PersonalNumber,StudentAge,IAT_pattern,IAT_po,IAT_ne,IAT,IAT1_error,IAT2_error,IAT_Q1,IAT_Q2,IAT_Q3,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,ss1,ss2,ss3,ss4,ss5,ss6,cu1,cu2,cu3,cu4,cu5,cu6,cu7,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,cd9,cd10,cd11,ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,pr1,pr2,pr3,pr5,pr6,pr7,pr9,pr10,pr11,pr13,pr14,pr15,pr17,pr18,pr19,pr4,pr8,pr12,pr16,tl1,tl4,tl6,tl8,tl9,tl11,tl13,tl15,tl17,tl2,tl3,tl5,tl7,tl10,tl12,tl14,tl16,fr1,fr3,fr5,fr7,fr9,fr2,fr4,fr6,fr8,ce1,ce2,ce3,ce4,ce5,ce6,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps8,ps9,ps10,self_control,sensation_seeking,callous_unemotional,moral_disengagement,cognitive_distortion,aggression_belief,acceptance,psychological_control,monitoring,family_violence,goal_achievement,group_maintenance,good_friendship,bad_friendship,informal_control,social_cohesion,self_control_after,sensation_seeking_after,callous_unemotional_after,moral_disengagement_after,cognitive_distortion_after,aggression_belief_after,acceptance_after,psychological_control_after,monitoring_after,family_violence_after,goal_achievement_after,group_maintenance_after,good_friendship_after,bad_friendship_after,informal_control_after,social_cohesion_after,season,mondai,hutoukou,ijime,mondai_after,hutoukou_after,ijime_after,jian_flag_half,cluster,cluster_replace,cluster_after,cluster_after_replace,cluster_naimen,cluster_naimen_replace,cluster_naimen_after,cluster_naimen_after_replace,StudentGender_1,StudentGender_2,SchoolGrade_4,SchoolGrade_5,SchoolGrade_6,SchoolGrade_7,SchoolGrade_8,SchoolGrade_9,gakku_1,gakku_10,gakku_11,gakku_12,gakku_13,gakku_14,gakku_15,gakku_16,gakku_17,gakku_18,gakku_19,gakku_2,gakku_20,gakku_21,gakku_22,gakku_3,gakku_4,gakku_5,gakku_6,gakku_7,gakku_8,gakku_9,jian_flag_all
590,590,0,0.0,0.7222390859432422,0.2777609140567579,3942,3942,3942,c2_7406,4357,0,0,0,0,0,0,c2,4,6,12,4,7.128543117,6.6076506870000005,-0.52089243,0.0,17.64705882,4,3,4,2,2,1,2,3,1,1,2,2,2,2,2,2,1,4,4,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,3,3,1,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,1,1,1,1,3,3,3,3,3,3,4,1,3,4,2,3,1,1,1,3,13,11,10,11,11,8,6,6,5,5,10,9,6,4,6,6,16.0,13.0,13.0,11.0,11.0,12.0,10.0,10.0,6.0,9.0,17.0,14.0,9.0,7.0,8.0,7.0,1,0,0,0,0.0,0.0,0.0,0,6,2,5.0,8.0,8,1,4.0,7.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
595,595,0,0.0,0.8029140787385751,0.19708592126142496,8978,8978,8978,s11_4132,10184,0,0,0,0,0,1,s11,1,32,10,3,7.764531882999999,7.513891083,-0.250640801,33.33333333,41.66666667,3,2,4,1,2,1,3,3,1,2,2,1,3,2,3,3,2,3,4,4,3,4,4,3,6,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,4,3,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,3,4,4,4,4,1,1,2,1,3,4,4,3,3,2,4,1,3,3,3,2,2,2,1,3,14,14,10,17,12,9,6,9,4,4,12,9,6,5,4,7,16.0,13.0,9.0,13.0,12.0,8.0,7.0,9.0,6.0,5.0,16.0,11.0,6.0,4.0,8.0,8.0,1,0,0,0,0.0,0.0,0.0,0,6,2,7.0,4.0,9,5,6.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,597,0,0.0,0.8090065883037554,0.19099341169624454,34034,34034,34034,s44_6118,37948,0,0,0,0,0,0,s44,1,18,12,3,6.907755279,6.898185828,-0.009569451,0.0,9.523809523999999,4,4,4,1,3,1,3,4,1,1,2,4,4,4,4,3,1,4,4,2,4,3,4,4,1,2,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,3,1,4,4,4,1,1,1,2,3,4,4,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,4,3,4,2,4,4,3,1,13,20,10,14,17,9,6,10,3,5,14,10,5,4,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,3,1,,,9,5,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600,600,0,0.0,0.7461023317728954,0.25389766822710447,12927,12927,12927,s27_5411,14442,0,0,0,0,0,0,s27,4,11,10,2,7.195437351,7.013115795,-0.182321557,0.0,0.0,4,4,4,1,2,1,1,1,1,2,3,4,2,4,4,4,1,3,3,3,2,3,3,4,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,2,3,4,4,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,1,2,2,4,3,4,3,3,4,4,1,2,2,1,1,3,3,3,1,15,19,14,14,14,8,6,9,4,6,8,9,6,7,4,5,19.0,15.0,14.0,29.0,32.0,8.0,9.0,13.0,3.0,7.0,11.0,12.0,5.0,7.0,4.0,6.0,1,0,0,0,0.0,0.0,0.0,0,2,5,4.0,6.0,1,4,7.0,6.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,605,0,0.0,0.8224969943142277,0.17750300568577224,4756,4756,4756,c21_8331,5243,0,0,0,0,0,0,c21,3,31,13,1,6.998269287,6.704414355,-0.293854932,10.52631579,4.0,4,4,4,1,2,1,3,4,1,1,2,3,1,2,2,2,1,4,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,4,3,2,3,4,2,2,2,12,11,10,11,11,8,6,6,3,4,8,9,5,4,3,3,13.0,12.0,10.0,11.0,11.0,8.0,6.0,9.0,3.0,7.0,8.0,10.0,5.0,5.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,3,1,1.0,3.0,8,1,8.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
606,606,0,0.0,0.7059306140857751,0.2940693859142248,5545,5545,5545,c22_9212,6116,0,0,0,0,0,0,c22,2,12,15,4,7.090076836000001,6.571283042,-0.518793793,0.0,5.882352941000001,4,4,4,2,3,2,2,2,1,2,2,3,3,2,2,2,1,3,4,2,2,4,3,3,2,5,3,1,1,3,3,3,2,1,1,2,1,1,5,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,3,2,3,3,2,3,3,3,1,2,1,1,2,2,3,1,3,2,1,3,3,4,3,1,2,3,3,3,2,2,4,4,3,2,2,3,2,3,3,1,4,1,1,1,1,3,3,3,3,3,3,4,1,3,3,3,3,3,3,2,3,17,13,14,25,18,8,14,11,8,7,18,20,12,4,6,6,19.0,13.0,13.0,27.0,17.0,9.0,13.0,10.0,6.0,6.0,19.0,21.0,9.0,5.0,6.0,6.0,1,0,0,0,0.0,0.0,0.0,0,5,8,5.0,8.0,9,5,9.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
612,612,0,0.0,0.7230879416289888,0.2769120583710113,1892,1892,1892,c13_9114,2136,0,0,0,0,0,0,c13,1,14,15,3,7.13089883,6.684611727999999,-0.44628710299999996,0.0,0.0,2,4,3,2,4,3,4,4,3,4,3,4,4,4,4,3,3,4,4,3,3,4,3,3,4,6,6,1,3,6,6,6,5,4,2,4,2,2,6,6,1,2,6,3,6,4,3,4,3,4,3,4,2,4,3,3,3,2,2,3,3,4,2,3,4,2,2,2,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,1,2,1,2,3,4,2,1,2,4,2,4,2,3,4,4,4,3,2,24,22,11,49,42,13,14,18,7,14,12,11,5,7,6,10,26.0,21.0,10.0,45.0,43.0,13.0,8.0,13.0,6.0,11.0,15.0,20.0,5.0,8.0,7.0,10.0,1,0,0,0,0.0,0.0,0.0,0,9,7,8.0,9.0,4,7,3.0,9.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,626,0,0.0,0.7704938893445785,0.22950611065542142,27373,27373,27373,s13_4225,30636,0,0,0,0,0,0,s13,2,25,9,2,7.338538195,6.832247726,-0.506290469,4.545454545,0.0,4,4,4,2,2,1,2,4,1,2,2,4,2,1,1,2,1,4,4,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,1,1,2,1,4,4,4,1,1,1,1,4,4,4,4,3,2,4,3,4,4,2,3,4,4,3,2,3,3,4,3,3,4,2,1,2,1,4,4,4,4,4,4,4,1,3,4,3,2,2,3,1,4,13,11,7,13,11,8,7,10,3,4,15,13,8,6,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,8,1,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
628,628,0,0.0,0.7939724234277226,0.20602757657227744,22179,22179,22179,c20_9223,24644,0,0,0,0,0,0,c20,2,23,15,2,7.338538195,6.725433722000001,-0.6131044729999999,0.0,0.0,4,3,4,2,2,1,2,3,1,2,3,1,1,1,2,1,2,4,4,3,3,4,4,3,1,1,2,1,1,1,1,2,3,1,1,2,1,1,4,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,3,3,3,3,2,3,4,2,2,3,3,3,4,4,4,1,2,1,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,2,2,2,3,3,2,2,4,1,3,3,3,2,4,3,2,2,15,8,10,15,16,8,13,17,3,8,16,18,11,7,8,8,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,5,8,,,2,3,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
632,632,0,0.0,0.746296516599425,0.25370348340057497,24960,24960,24960,c6_8229,27649,0,0,0,0,0,0,c6,2,29,14,2,7.525394907000001,6.858965115,-0.6664297920000001,0.0,9.090909091,4,3,4,1,1,1,1,4,2,1,1,4,1,1,1,3,1,4,4,4,3,4,4,3,1,2,2,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,4,3,4,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,4,4,4,3,4,1,1,1,1,3,3,3,3,3,3,3,1,4,4,2,1,2,1,1,4,9,11,9,17,12,9,6,7,4,5,16,18,6,4,6,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,9,5,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
634,634,0,0.0,0.742925099639151,0.25707490036084907,34492,34492,34492,s46_5211,38430,0,0,0,0,0,0,s46,2,11,11,2,7.170119542999999,6.812445099,-0.357674444,0.0,12.5,4,3,4,1,3,1,3,3,1,2,3,3,4,2,2,3,1,3,3,3,3,3,4,3,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,3,1,1,2,4,4,4,4,4,4,4,4,3,3,4,4,3,4,2,2,1,2,3,1,4,3,4,1,2,1,2,4,3,4,2,3,3,3,3,4,3,2,3,3,4,3,3,3,4,4,4,3,3,2,2,2,2,2,3,4,4,2,3,4,1,3,2,3,3,4,3,2,2,16,15,13,13,16,8,9,11,4,6,16,16,7,8,6,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,1,4,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
639,639,0,0.0,0.7080868549239371,0.291913145076063,21720,21720,21720,c2_8107,24148,0,0,0,0,0,0,c2,1,7,14,1,6.9469759920000005,6.59108567,-0.35589032200000004,10.0,3.571428571,4,4,4,4,4,2,4,2,1,3,4,3,1,2,4,4,2,4,4,2,2,4,4,3,1,4,4,1,3,4,4,4,4,1,1,1,1,2,5,4,2,1,4,1,2,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,1,3,1,2,4,1,4,4,4,1,1,1,3,2,3,1,3,3,4,4,3,4,2,2,2,3,3,3,4,2,3,3,4,3,4,1,1,2,1,1,1,3,4,4,3,4,2,1,2,4,3,4,4,2,4,25,16,12,31,27,9,9,12,3,6,19,18,8,5,10,4,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,7,6,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
646,646,0,0.0,0.7095666029285432,0.29043339707145666,1126,1126,1126,c11_9111,1266,0,0,0,0,0,1,c11,1,11,15,1,6.873853727,6.684611727999999,-0.189242,33.33333333,0.0,4,4,4,1,2,1,2,4,1,2,3,4,4,3,3,4,1,4,3,4,3,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,2,2,1,2,1,3,3,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,3,4,2,2,3,4,1,3,3,4,3,3,2,1,3,13,19,9,19,11,8,8,10,5,4,8,9,8,4,6,8,16.0,20.0,8.0,13.0,11.0,8.0,6.0,8.0,3.0,4.0,8.0,9.0,5.0,4.0,3.0,4.0,1,0,0,0,0.0,0.0,0.0,0,2,5,6.0,2.0,6,2,6.0,2.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,647,0,0.0,0.7824860186381265,0.21751398136187347,33576,33576,33576,s42_5225,37466,0,0,0,0,0,1,s42,2,25,11,2,7.677863501,7.070274208,-0.607589292,0.0,40.0,4,3,4,2,1,1,2,4,1,2,1,2,2,2,3,4,1,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,2,2,1,1,3,3,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,3,4,2,2,3,1,2,4,11,14,9,12,12,8,11,14,5,4,8,9,5,4,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,6,2,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
654,654,0,0.0,0.711448934577793,0.2885510654222069,27125,27125,27125,s12_4321,30378,0,0,0,0,0,0,s12,3,21,10,1,7.13089883,6.907755279,-0.22314355100000002,0.0,0.0,4,4,4,1,1,1,1,3,1,1,2,4,2,2,2,4,1,4,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,2,4,1,1,1,1,4,4,4,2,3,3,4,4,4,3,3,3,3,2,3,3,3,4,4,2,3,4,1,1,2,1,2,2,3,4,4,4,4,1,4,4,2,1,2,2,1,2,10,15,8,11,11,8,6,6,6,4,17,13,8,5,8,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,6,2,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,664,0,0.0,0.7248100613581114,0.27518993864188857,3564,3564,3564,c18_8337,3938,0,0,0,0,0,0,c18,3,37,13,1,6.998269287,6.998269287,0.0,10.52631579,10.52631579,4,4,4,1,4,2,4,4,1,4,2,4,2,4,4,3,2,4,3,2,3,3,4,2,4,5,5,1,2,3,4,4,1,1,1,1,1,1,6,1,3,1,4,1,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,1,1,1,1,3,1,4,3,4,1,2,1,2,4,4,4,4,3,3,3,3,1,4,4,4,4,4,3,3,3,4,3,4,4,4,2,3,1,1,1,1,1,1,1,1,3,4,3,2,4,4,4,4,1,4,19,19,14,31,26,9,12,8,4,6,11,16,6,7,12,12,18.0,18.0,11.0,18.0,14.0,8.0,10.0,8.0,6.0,4.0,18.0,21.0,6.0,7.0,9.0,9.0,1,0,0,0,0.0,0.0,0.0,0,2,5,7.0,4.0,7,6,1.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
665,665,0,0.0,0.7066189816133429,0.2933810183866571,9416,9416,9416,s12_5206,10661,0,0,0,0,0,1,s12,2,6,10,4,7.5319095879999995,7.418580903,-0.113328685,0.0,50.0,4,4,4,1,2,1,2,2,1,1,1,2,1,1,4,3,2,3,3,3,2,3,3,3,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,2,1,1,2,1,4,3,3,1,2,1,2,2,4,3,3,4,2,4,3,2,3,3,4,3,2,3,4,3,4,3,4,4,4,1,1,2,1,4,3,3,3,3,4,4,1,3,4,2,2,3,2,2,2,12,13,15,15,12,8,8,9,5,6,15,18,6,5,5,5,14.0,12.0,14.0,14.0,13.0,8.0,8.0,9.0,5.0,7.0,10.0,15.0,6.0,5.0,3.0,5.0,1,0,0,0,0.0,0.0,0.0,0,7,4,7.0,4.0,1,4,2.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,672,0,0.0,0.8073841432634031,0.19261585673659679,20124,20124,20124,c15_7402,22433,0,0,0,0,0,0,c15,4,2,13,4,7.013115795,6.627453313999999,-0.385662481,3.7037037039999996,0.0,4,3,4,1,2,1,1,4,1,1,1,1,2,1,1,1,1,4,4,4,4,4,3,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,3,4,1,1,1,1,4,4,4,4,4,3,4,3,4,4,2,4,3,2,4,4,3,3,4,3,3,4,1,1,1,1,2,2,3,3,2,2,4,2,3,3,2,2,2,3,2,2,9,7,8,12,13,8,6,6,4,4,14,11,8,4,8,8,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,2,5,,,8,1,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,690,0,0.0,0.7126308191768357,0.2873691808231643,15282,15282,15282,s40_4126,17141,0,0,0,0,0,0,s40,1,26,9,3,7.13089883,7.032918422000001,-0.097980408,0.0,5.555555556,4,3,4,1,3,2,3,3,1,1,3,3,1,1,1,3,1,4,4,4,4,4,4,3,1,1,4,1,1,2,1,3,3,1,1,2,1,1,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,1,1,2,2,4,4,3,2,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,2,2,1,4,4,4,4,4,4,4,1,4,3,4,3,4,4,2,2,16,10,8,19,14,8,13,11,4,11,9,10,5,6,3,3,22.0,20.0,14.0,22.0,14.0,8.0,16.0,11.0,5.0,15.0,11.0,11.0,8.0,9.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,4,6,9.0,7.0,2,3,9.0,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
693,693,0,0.0,0.7439020794634945,0.2560979205365054,22134,22134,22134,c20_9113,24598,0,0,0,0,0,1,c20,1,13,15,1,7.201302471,7.290747531,0.08944506,41.17647059,33.33333333,3,4,4,1,1,1,2,2,1,1,1,3,2,2,4,4,1,4,4,3,4,4,4,4,2,3,4,1,3,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,4,4,4,3,4,4,4,2,4,4,4,4,2,2,2,3,4,2,4,4,4,1,1,1,1,4,4,4,4,4,4,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,4,3,3,4,4,4,4,1,4,3,2,2,3,3,2,3,11,16,8,22,13,13,8,15,3,4,9,13,5,5,5,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,4,7,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
697,697,0,0.0,0.7308482056368835,0.2691517943631165,5864,5864,5864,c3_7421,6457,0,0,0,0,0,1,c3,4,21,12,2,7.563861188,6.6076506870000005,-0.9562105009999999,0.0,27.27272727,3,3,4,2,1,1,1,1,1,1,1,4,2,1,2,2,1,4,3,3,4,4,4,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,1,2,3,2,4,4,4,2,2,2,2,4,4,4,4,4,3,3,4,4,2,2,3,3,3,3,3,3,4,4,4,3,4,1,1,1,1,2,3,4,4,3,3,4,1,4,4,3,2,2,2,3,4,12,12,10,13,13,8,7,12,3,8,18,11,6,4,6,5,14.0,15.0,9.0,13.0,11.0,8.0,6.0,8.0,3.0,4.0,16.0,9.0,6.0,4.0,4.0,3.0,1,0,0,0,0.0,0.0,0.0,0,7,4,6.0,2.0,8,1,6.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
700,700,0,0.0,0.7270931179412126,0.2729068820587873,14200,14200,14200,s32_6130,15961,0,0,0,0,0,0,s32,1,30,11,3,7.1507014579999995,6.878767742000001,-0.271933715,6.25,4.7619047619999995,4,4,4,2,3,1,3,4,1,2,2,4,2,3,4,2,1,4,4,2,3,4,4,3,2,1,4,1,1,1,2,3,1,1,1,2,1,1,6,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,1,1,2,2,2,2,2,3,1,1,1,1,4,3,4,4,4,2,3,3,3,3,2,3,4,2,3,3,2,4,4,4,3,4,2,1,1,1,4,4,4,4,3,3,4,2,4,2,2,2,2,1,2,1,15,16,11,18,18,8,10,10,8,4,18,15,6,5,3,5,16.0,17.0,11.0,20.0,17.0,9.0,9.0,11.0,8.0,5.0,16.0,19.0,6.0,4.0,5.0,6.0,1,0,0,0,0.0,0.0,0.0,0,2,5,7.0,4.0,9,5,9.0,5.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,705,0,0.0,0.7227303431637482,0.27726965683625177,23417,23417,23417,c22_9528,26004,0,0,0,0,0,0,c22,5,28,15,3,6.764654435,6.571283042,-0.193371393,8.333333332999999,0.0,4,3,4,3,3,2,2,3,1,3,3,1,1,4,3,2,1,4,3,4,4,4,4,4,1,3,3,1,1,6,4,1,1,1,2,2,1,1,6,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,1,2,2,3,2,3,2,2,2,2,2,4,3,4,4,4,3,3,4,3,3,2,4,3,3,3,3,2,4,4,3,4,1,1,2,1,1,1,2,2,2,2,4,2,3,2,3,3,2,3,3,3,19,12,8,24,20,10,11,11,7,8,16,14,8,5,11,9,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,9,7,,,4,7,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
713,713,0,0.0,0.7838666771166896,0.21613332288331036,4016,4016,4016,c2_8227,4439,0,0,0,0,0,0,c2,2,27,14,2,7.071384703,6.59108567,-0.480299033,3.571428571,16.66666667,4,3,4,1,3,1,3,4,1,2,1,4,3,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,4,4,4,1,1,1,1,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,1,3,3,4,3,4,1,1,4,13,21,7,11,12,8,6,7,3,4,11,10,5,5,3,3,13.0,20.0,9.0,11.0,16.0,8.0,8.0,10.0,5.0,4.0,14.0,10.0,5.0,5.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,3,1,1.0,3.0,6,2,6.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
714,714,0,0.0,0.7244829859686333,0.2755170140313668,29079,29079,29079,s21_6215,32491,0,0,0,0,0,0,s21,2,15,11,2,7.13089883,6.959048573,-0.171850257,0.0,0.0,4,4,4,2,2,1,3,4,1,3,2,1,1,1,1,4,1,4,4,4,3,4,3,3,1,1,1,1,1,2,1,2,2,1,1,2,1,1,3,1,1,1,2,2,1,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,2,1,1,2,1,1,4,3,4,1,1,1,4,4,4,4,4,4,4,3,4,4,3,2,3,4,3,4,3,4,4,4,4,4,4,1,1,1,1,3,3,3,3,3,3,4,1,3,3,2,1,2,1,1,1,15,9,10,14,18,8,10,8,4,7,14,10,5,4,6,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,2,3,,,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
